ESD Code,ESD Name,District-County Code,District name,School Code,School name,Lowest Grade,Highest Grade,Physical AddressLine1,Physical City,Physical State,Physical ZipCode,phone,School Type
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1635,Interagency Programs,6,12,2445 3rd AVE S,SEATTLE,Washington,98134-1923,206.252.6816,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27003,Puyallup School District,1640,Phoenix Program,K ,12,5715 Milwaukee Ave E,Puyallup,Washington,98372-2757,253.841.8781,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31103,Monroe School District,1643,Out Of District Special Ed,PK,11,200 E Fremont,Monroe,Washington,98272-2336,360.804.2500,Special Education School
39801,Educational Service District 105,39200,Grandview School District,1645,Compass High School,9,12,913 W 2nd ST,Grandview,Washington,98930-0000,509.882.8543,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6114,Evergreen School District (Clark),1646,49th Street Academy,K ,12,14619B NE 49th Street,Vancouver,Washington,98682-6308,360.604.4802,Special Education School
29801,Northwest Educational Service District 189,37501,Bellingham School District,1647,Options High School,9,12,2015 Franklin St,Bellingham,Washington,98225-4220,360.647.6871,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17403,Renton School District,1648,Out Of District Facility,PK,12,300 SW 7TH ST,RENTON,Washington,98055-2307,(425) 204-2285,Special Education School
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1649,Contractual Schools,K ,12,16250 NE 74th ST,Redmond,Washington,98052-7817,425.702.3221,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,29100,Burlington-Edison School District,1650,BECC,PK,PK,927 E FAIRHAVEN AVE,BURLINGTON,Washington,98233-0000,(360) 757-3311,Special Education School
18801,Olympic Educational Service District 114,18401,Central Kitsap School District,1653,New Frontiers Jr High,7,9,10150 FRONTIER PLACE NW,SILVERDALE,Washington,98383-0000,(360) 662-1630,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31015,Edmonds School District,1655,Edmonds Career Options,7,12,20525 52ND AVE W,LYNNWOOD,Washington,98036-7610,(425) 431-7270,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31025,Marysville School District,1656,10th Street School,6,8,7204 27th Ave NE,Marysville,Washington,98271,360.653.0665,Public School
29801,Northwest Educational Service District 189,31025,Marysville School District,1657,Heritage School,9,12,7204 27th Ave NE,Marysville,Washington,98271,306.653.0690,Public School
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1658,Discovery School,1,6,12801 84th NE,Kirkland,Washington,98034-2600,425.820.3776,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31002,Everett School District,1663,NW Learning Center,9,12,1515 75th St SW Ste 500,Everett,Washington,98203,425.385.5250,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31002,Everett School District,1665,Other Schools,5,12,202 Alder,Everett,Washington,98203-3229,425.385.5250,Public School
17801,Puget Sound Educational Service District 121,17412,Shoreline School District,1667,Handicapped Contractual Services,PK,12,18560 1st Avenue N.E.,Shoreline,Washington,98155-2148,(206) 361-4238,Special Education School
29801,Northwest Educational Service District 189,31311,Sultan School District,1670,Student Services School,PK,PK,514 4th Street,Sultan,Washington,98294-0000,360.793.9801 ext.126,Special Education School
18801,Olympic Educational Service District 114,5402,Quillayute Valley School District,1671,District Run Home School,K ,12,382 South Forks Avenue,Forks,Washington,98331-0000,360.374.6262,Alternative School w/ > 50% From Within District
34801,Educational Service District 113,25116,Raymond School District,1672,Developmental Preschool,PK,PK,1016 Commercial Street,Raymond,Washington,98577-0000,(360) 942-2435,Special Education School
4801,North Central Educational Service District 171,4129,Lake Chelan School District,1675,Lake Chelan Preschool,PK,PK,324 E Johnson,Chelan,Washington,98816-0000,(509) 682-7744,Public School
18801,Olympic Educational Service District 114,18400,North Kitsap School District,1677,Special Programs,PK,9,18360 CALDART AVE NE,Poulsbo,Washington,98370-8775,360.394.2600,Special Education School
18801,Olympic Educational Service District 114,23403,North Mason School District,1680,PACE Academy (OPTIONS),9,12,71 E. Campus Dr.,Belfair,Washington,98528-0000,360.277.2393,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,15206,South Whidbey School District,1682,Bayview Alternative School,9,12,5611 S Bayview Road,Langley,Washington,98260-0311,360.321.2343,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,15206,South Whidbey School District,1683,South Whidbey Special Services,PK,1,721 Camano Ave,Langley,Washington,98260-0346,,Special Education School
29801,Northwest Educational Service District 189,31015,Edmonds School District,1685,Maplewood Parent Coop,K ,8,8500 200TH ST SW,EDMONDS,Washington,98026-2504,(425) 431-7515,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1687,Explorer Community School,1,6,7040 208th NE,Redmond,Washington,98053-4716,425.936.2533,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1688,Family Learning Center,K ,12,10903 NE 53rd Street,Kirkland,Washington,98033-7508,425.828.3225,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6037,Vancouver School District,1689,Vancouver School of Arts and Academics,6,12,3101 MAIN ST,VANCOUVER,WASHINGTON,98663-2751,360.313.4600,Public School
29801,Northwest Educational Service District 189,37501,Bellingham School District,1694,Home Port Learning Center,9,12,707 Astor St,Bellingham,Washington,98225-3450,(360) 676-2627,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32081,Spokane School District,1698,SCCP Images,12,12,1810 N Greene St,Spokane,Washington,99217-5399,(509) 533-7326,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,1699,Odyssey Multiage Program,1,8,9530 NE High School Rd,Bainbridge Island,Washington,98110-0000,(206)780-1387,Public School
29801,Northwest Educational Service District 189,31201,Snohomish School District,1704,Snohomish Freshman Campus,7,9,601 Glen Avenue,Snohomish,Washington,98290-0000,(360) 563-4300,Public School
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1706,International Community School,7,12,11133 NE 65th ST,Kirkland,Washington,98033-7116,425.936.2380,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31401,Stanwood-Camano School District,1707,Lincoln Hill High School,9,12,7400 272ND ST NW,STANWOOD,Washington,98292-0000,360.629.1340,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,5323,Sequim School District,1708,Sequim Community School,PK,12,220 W. Alder,Sequim,Washington,98382-0000,,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,33036,Chewelah School District,1709,Chewelah Alternative,8,12,N 210 PARK ST,Chewelah,Washington,99109-0000,509.685.6800,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17409,Tahoma School District,1711,Russell Ridge Center,K ,12,22615 Sweeney Road SE,Maple Valley,Washington,98038-6416,425.413.3400,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32361,East Valley School District (Spokane),1712,Continuous Curriculum School,K ,8,16924 E WELLESLEY AVE,SPOKANE VALLEY,Washington,99216-1558,(509) 927-9501,Public School
34801,Educational Service District 113,34033,Tumwater School District,1713,Secondary Options,8,12,7741 Littlerock Road SW,Olympia,Washington,98512-0000,360.709.7760,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31016,Arlington School District,1714,Stillaguamish School,K ,12,1215 E 5th,Arlington,Washington,98223-1317,360.618.6440,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,5121,Port Angeles School District,1715,Parents As Partners,K ,8,216 E 4TH ST,PORT ANGELES,Washington,98362-3200,(360) 565-1878,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,18402,South Kitsap School District,1718,Explorer Academy,K ,12,1962 HOOVER AVE SE,PORT ORCHARD,Washington,98366-0000,(360) 443-3605,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,16049,Chimacum School District,1724,PI Program,K ,12,91 West Valley Rd,Chimacum,Washington,98325-0000,360.732.4090 ext.265,Alternative School w/ > 50% From Within District
11801,Educational Service District 123,3116,Prosser School District,1728,Prosser Falls Education Center,9,12,1500 Grant Ave.,Prosser,Washington,99350-1122,509.786.2527,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31201,Snohomish School District,1730,Snohomish Center,K ,12,1601 Avenue D,Snohomish,Washington,98290-0000,360.563.7308,Special Education School
18801,Olympic Educational Service District 114,18400,North Kitsap School District,1733,Pal Program,K ,8,1845 NE HOSTMARK ST,POULSBO,Washington,98370-7335,360.779.8742,Alternative School w/ > 50% From Within District
34801,Educational Service District 113,34401,Rochester School District,1735,H.e.a.r.t. High School,9,12,10140 Highway 12 SW,Rochester,Washington,98579-8621,360.273.5536,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,18100,Bremerton School District,1737,Renaissance Alternative High School,9,12,3400 1st Street,Bremerton,Washington,98312-3785,360.473.1082,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6037,Vancouver School District,1738,Gate Program,12,12,3100 E 18TH ST,VANCOUVER,WASHINGTON,98661-5645,360.313.1050,Special Education School
18801,Olympic Educational Service District 114,18401,Central Kitsap School District,1740,Off Campus,K ,12,9210 SILVERDALE WAY,SILVERDALE,Washington,98383-9197,360 1716,Alternative School w/ > 50% From Within District
4801,North Central Educational Service District 171,4246,Wenatchee School District,1742,Valley Academy Of Learning,K ,12,11 N CHELAN AVENUE,WENATCHEE,Washington,98801-0000,509.662.6417,Alternative School w/ > 50% From Outside of District
29801,Northwest Educational Service District 189,37505,Meridian School District,1743,Meridian Special Programs,PK,PK,214 W LAUREL ROAD,BELLINGHAM,Washington,98226-0000,,Special Education School
29801,Northwest Educational Service District 189,31025,Marysville School District,1744,School Home Partnership Program,K ,12,4220 80th St NE,Marysville,Washington,98270-3723,360.653.0871,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17405,Bellevue School District,1746,Kelsey Creek Home School Center,K ,12,301 151st Place NE,Bellevue,Washington,98007-5041,426.456.7870,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,18100,Bremerton School District,1749,Alliance Academy,K ,8,800 Dibb Street,Bremerton,Washington,98310,360.473.4100,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1750,Education Service Centers,6,12,1330 N 90 St,SEATTLE,Washington,98108-2145,206.252.6816,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1751,Home School Resource Center,K ,12,1330 N 90 St,SEATTLE,Washington,98117-2306,206.252.4720,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31004,Lake Stevens School District,1753,Homelink,K ,12,2202 123rd Ave NE,Lake Stevens,Washington,98258,425.335.1500,Alternative School w/ > 50% From Within District
11801,Educational Service District 123,11051,North Franklin School District,1754,Palouse Junction High School,9,12,110 N. Chelan,Connell,Washington,99326-0829,509.234.1055,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32363,West Valley School District (Spokane),1755,West Valley City School,5,8,8920 E VALLEYWAY,SPOKANE,Washington,99212-0000,509.921.2836,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17407,Riverview School District,1756,CLIP,9,12,32240 NE 50th Street,Carnation,Washington,98014,425.844.4520,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31201,Snohomish School District,1757,ALC,7,12,1601 Avenue D,Snohomish,Washington,98290-0000,(360) 563-4185,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,15201,Oak Harbor School District,1758,Homeconnection,K ,12,350 S. Oak Harbor St.,Oak Harbor,Washington,98277-0000,(360)279-5057,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17210,Federal Way School District,1759,Internet Academy,PK,12,32020 1ST AV S,FEDERAL WAY,Washington,98003-5708,(253)945-2230,Alternative School w/ > 50% From Outside of District
29801,Northwest Educational Service District 189,29011,Concrete School District,1762,Skagit River School House,K ,12,45389 Airport Way,Concrete,Washington,98237,(360) 853-8071,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,33036,Chewelah School District,1763,Home Link Alternative,K ,12,N. 210 Park,Chewelah,Washington,99109-0000,509.685.6800 ext.3115,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,30303,Stevenson-Carson School District,1765,Preschool,PK,PK,100 NW School Street,Stevenson,Washington,98648,509.427.5672,Special Education School
32801,Educational Service District 101,32081,Spokane School District,1767,The Healing Lodge,8,12,5600 E 8Th Ave,Spokane,Washington,99212-0220,(509) 533-6910,Institution
34801,Educational Service District 113,34111,Olympia School District,1768,Avanti High School,9,12,1113 LEGION WAY SE,OLYMPIA,Washington,98501-1652,360.596.7900,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,32360,Cheney School District,1769,Three Springs High School,9,12,520 FOURTH STREET,CHENEY,Washington,99004-1616,509.559.4006,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,15206,South Whidbey School District,1770,Whidbey Island Academy Shared Sch,K ,12,5675 S Maxwelton Rd,Langley,Washington,98260-0346,,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17412,Shoreline School District,1771,Aldercrest Annex Home Exchange,K ,10,816 NE 190th ,Shoreline,Washington,98155,(206) 366-7826,Alternative School w/ > 50% From Within District
11801,Educational Service District 123,36140,Walla Walla Public Schools,1772,Homelink,K ,12,1718 PLEASANT ST,WALLA WALLA,Washington,99362-2907,509.527.3060,Alternative School w/ > 50% From Within District
39801,Educational Service District 105,39200,Grandview School District,1776,Contract Learning Center,9,12,913 W 2nd ST,Grandview,Washington,98930-0000,509.882.8543,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31103,Monroe School District,1777,Sky Valley Education Center,1,12,17072 Tye St. SE Bldg. B,Monroe,Washington,98272-2757,360.804.2700,Alternative School w/ > 50% From Outside of District
17801,Puget Sound Educational Service District 121,27320,Sumner School District,1781,Sumner Special Services,PK,PK,1202 WOOD AVENUE,SUMNER,Washington,98390-0000,253.891.6000,Special Education School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1782,Childhaven,PK,5,302 BROADWAY AV,SEATTLE,Washington,98122-5325,206.252.0838,Special Education School
17801,Puget Sound Educational Service District 121,17401,Highline School District,1782,Childhaven,PK,5,302 BROADWAY AV,SEATTLE,Washington,98122-5325,206.252.0838,Special Education School
17801,Puget Sound Educational Service District 121,17403,Renton School District,1784,Home Program,K ,12,2607 Jones Avenue S,RENTON,Washington,98055-5102,425.204.4800,Alternative School w/ > 50% From Within District
18801,Olympic Educational Service District 114,5401,Cape Flattery School District,1787,Cape Flattery Preschool,PK,PK,13193 HWY 112,Sekiu,Washington,98381-0109,(360) 963-2056,Public School
17801,Puget Sound Educational Service District 121,17210,Federal Way School District,1789,Federal Way Public Academy,6,10,34620 9TH AV S,FEDERAL WAY,Washington,98003-6731,253.945.3270,Public School
17801,Puget Sound Educational Service District 121,27083,University Place School District,1790,University Place Special Educ,K ,12,3717 GRANDVIEW DRIVE W,UNIVERSITY PLA,Washington,98466-0000,253.566.5600,Special Education School
17801,Puget Sound Educational Service District 121,27417,Fife School District,1793,Learning Opportunity Center,10,12,5802 20th St E,Tacoma,Washington,98424-2030,253.517.1000,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,8404,Woodland School District,1795,TEAM High School,9,12,143 Davidson,Woodland,Washington,98674,360.225.8201,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1796,Salmon Bay K-8 School,K ,8,1810 NW 65 ST,SEATTLE,Washington,98117-5531,206.252.1720,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,1797,Day Reporting School,9,12,5501 6th Avenue,Tacoma,Washington,98406-0000,(253) 798-7990,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,37501,Bellingham School District,1799,Visions (Seamar Youth Center),6,12,1603 E Illinois St,Bellingham,Washington,98226-3644,(360) 676-2787,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1800,Environmental & Adventure School,6,9,8040 NE 132nd,Kirkland,Washington,98034-2522,425.825.1411,Alternative School w/ > 50% From Within District
6801,Educational Service District 112,6114,Evergreen School District (Clark),1801,iQ Academy Washington,7,12,13501 NE 28th Street,Vancouver,Washington,98682-8091,360.604.4032,Alternative School w/ > 50% From Outside of District
32801,Educational Service District 101,32354,Mead School District,1803,Mead Alternative High School,9,12,529 W HASTINGS,SPOKANE,Washington,99218-2815,509.465.6900,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,1804,Futures School,9,12,10601 NE 132nd,Kirkland,Washington,98034-2872,425.823.7635,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,31103,Monroe School District,1806,Leaders In Learning,9,12,639 1/2 W Main St.,Monroe,Washington,98272-3250,360.804.2800,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17415,Kent School District,1807,Regional Justice Center,9,12,12033 SE 256th ST,Kent,Washington,98030-6503,253.373.7242,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,1808,Experimental Education Unit,PK,K ,1959 NE PACIFIC ST,SEATTLE,Washington,98195-7925,206.252.0838,Special Education School
29801,Northwest Educational Service District 189,31002,Everett School District,1810,Sno Co Jail,7,12,1918 Wall Street,Everett,Washington,98201-3665,425.385.5191,Institution
29801,Northwest Educational Service District 189,31002,Everett School District,1811,Pass Program,6,12,2731 10th St.,Everett,Washington,98201-1413,425.385.5191,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17417,Northshore School District,1814,Northshore Networks,K ,12,3330 Monte Villa Parkway,Bothell,Washington,98021-8972,425.408.6605,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17417,Northshore School District,1815,Northshore Special Services,PK,12,3330 Monte Villa Parkway,Bothell,Washington,98021-8972,425.408.7735,Special Education School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,1817,Home Based,PK,12,601 S 8th St,Tacoma,Washington,98401-1357,253.571.5100,Alternative School w/ > 50% From Within District
32801,Educational Service District 101,33207,Mary Walker School District,1819,Parent Partner Program,K ,12,500 N 1st,SPRINGDALE,Washington,99173-0159,(509) 258-4533,Alternative School w/ > 50% From Outside of District
32801,Educational Service District 101,33207,Mary Walker School District,1820,Mary Walker Alternative High Schl,9,12,500 N 4th St,SPRINGDALE,Washington,99173-0159,(509) 258-4533,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17402,Vashon Island School District,1822,Family Link,K ,12,20120 VASHON HWY SW,VASHON,Washington,98070-6026,(206) 463-9171 ,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17402,Vashon Island School District,1822,Family Link,K ,12,20120 VASHON HWY SW,VASHON,Washington,98070-6026,206.463.9171,Alternative School w/ > 50% From Within District
29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,1823,Nooksack Valley Special Services,PK,PK,3326 E. Badger Road,Everson,Washington,98247-0000,360.988.9423,Special Education School
